epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1204.1,0.46172,1.84466,0.06671,0.25417,1.13821,0.99415,0.99931,0.99488,0.9152,0.98244,0.98755,0.99165,0.47473,0.48518,2.38201,0.0396,0.29465,1.0283,0.000453828,0.000453828,0.000453828
61,1223.78,0.42676,1.85078,0.06369,0.25049,1.09525,0.98629,0.99412,0.99404,0.87012,0.98629,0.99412,0.99404,0.50624,0.5994,2.28272,0.03865,0.31386,1.11691,0.000452302,0.000452302,0.000452302
62,1242.99,0.41552,1.86649,0.0591,0.24024,1.08051,1,0.99953,0.995,0.88704,0.99365,0.98824,0.99297,0.49875,0.5562,2.37544,0.04107,0.29661,1.07813,0.000450754,0.000450754,0.000450754
63,1262.71,0.4454,1.8517,0.06443,0.24929,1.10859,0.99957,0.99412,0.995,0.90995,0.99365,0.98824,0.99248,0.47321,0.46371,2.39966,0.04006,0.27803,1.00774,0.000449183,0.000449183,0.000449183
64,1282.46,0.42332,1.8644,0.05724,0.24135,1.07314,0.9996,1,0.995,0.88405,0.98784,0.98824,0.99091,0.46136,0.56417,2.38635,0.03792,0.29383,1.08768,0.000447591,0.000447591,0.000447591
65,1302.15,0.4022,1.83995,0.05772,0.2363,1.06723,0.99364,0.99412,0.99476,0.91294,0.99364,0.99412,0.99476,0.51499,0.46871,2.27521,0.04035,0.27836,1.00172,0.000445977,0.000445977,0.000445977
66,2227.13,0.40464,1.82736,0.06081,0.23506,1.0658,0.99936,0.99412,0.995,0.88968,0.99404,0.98084,0.98978,0.49296,0.53708,2.34237,0.03822,0.28485,1.05899,0.000444342,0.000444342,0.000444342
67,2247.43,0.42428,1.81326,0.06516,0.23982,1.09987,1,0.99996,0.995,0.88959,1,0.99996,0.995,0.49436,0.5524,2.31341,0.03781,0.28637,1.07738,0.000442686,0.000442686,0.000442686
68,2267.59,0.42697,1.81799,0.05761,0.24263,1.08885,0.99962,1,0.995,0.89166,0.98797,0.98824,0.99279,0.51378,0.53416,2.2656,0.04007,0.28309,1.06003,0.000441008,0.000441008,0.000441008
69,2287.18,0.41201,1.81118,0.05232,0.23714,1.08708,0.99983,1,0.995,0.93056,0.98805,0.98824,0.99176,0.47888,0.45455,2.40543,0.03912,0.2689,1.01345,0.00043931,0.00043931,0.00043931
70,2306.97,0.40307,1.79695,0.0696,0.23292,1.08212,0.99969,1,0.995,0.9045,0.98205,0.98235,0.9899,0.51884,0.52435,2.28139,0.04265,0.27904,1.04914,0.00043759,0.00043759,0.00043759
71,2326.65,0.39541,1.7615,0.06198,0.22958,1.05561,0.99957,1,0.995,0.91988,0.99957,1,0.995,0.5026,0.46574,2.3013,0.04014,0.27482,1.02069,0.00043585,0.00043585,0.00043585
72,2346.35,0.38348,1.77627,0.05385,0.22636,1.05199,1,0.99893,0.995,0.89288,1,0.99893,0.995,0.50742,0.51592,2.26212,0.03851,0.26352,1.03851,0.00043409,0.00043409,0.00043409
73,2366.56,0.39128,1.78656,0.05899,0.22861,1.0612,1,0.98657,0.9933,0.93014,0.98808,0.9748,0.98712,0.51899,0.42653,2.30053,0.04006,0.30468,0.98395,0.00043231,0.00043231,0.00043231
74,2386.66,0.40374,1.785,0.06056,0.23428,1.07013,1,0.99818,0.995,0.88311,0.99401,0.97612,0.99042,0.48904,0.55485,2.39055,0.0379,0.31172,1.06253,0.00043051,0.00043051,0.00043051
75,2406.94,0.38919,1.80372,0.05953,0.22918,1.04834,0.99917,1,0.995,0.9301,0.99936,0.97647,0.98682,0.50081,0.42605,2.34042,0.03743,0.26711,0.97778,0.00042869,0.00042869,0.00042869
76,2426.85,0.37483,1.77638,0.05266,0.22612,1.03531,1,0.9992,0.995,0.90952,0.99396,0.96841,0.9867,0.50843,0.48479,2.30461,0.03685,0.27804,1.00971,0.00042685,0.00042685,0.00042685
77,2448.13,0.39677,1.78877,0.05613,0.238,1.06064,0.99922,0.99412,0.995,0.88783,0.99922,0.99412,0.995,0.49389,0.55944,2.35662,0.03714,0.29098,1.08423,0.000424991,0.000424991,0.000424991
78,2468.75,0.3854,1.78768,0.05439,0.23028,1.05939,0.99936,0.99412,0.995,0.91636,0.99936,0.99412,0.995,0.5186,0.45966,2.26438,0.04135,0.27993,1.00496,0.000423113,0.000423113,0.000423113
79,2490.28,0.38523,1.75656,0.05599,0.23317,1.04781,1,0.99928,0.995,0.9076,0.99955,0.99412,0.995,0.50295,0.4866,2.30081,0.03924,0.28991,1.03237,0.000421216,0.000421216,0.000421216
80,2511.23,0.38045,1.76608,0.05164,0.22752,1.04623,0.99972,1,0.995,0.88691,0.9986,0.99412,0.995,0.49358,0.55098,2.30014,0.03852,0.30012,1.07213,0.0004193,0.0004193,0.0004193
81,2532.18,0.3819,1.77052,0.05377,0.22716,1.04249,1,0.99325,0.995,0.90674,1,0.98194,0.99023,0.49961,0.48779,2.30221,0.04069,0.29926,1.0295,0.000417365,0.000417365,0.000417365
82,2554.65,0.36863,1.75449,0.0559,0.22293,1.03332,1,0.98775,0.99483,0.87822,1,0.98775,0.99483,0.51181,0.56228,2.24641,0.03705,0.28725,1.07883,0.000415413,0.000415413,0.000415413
83,2576.36,0.36936,1.70633,0.058,0.21987,1.03033,1,0.9994,0.995,0.92803,0.98823,0.98764,0.99321,0.52298,0.44051,2.22983,0.03992,0.2832,0.98947,0.000413442,0.000413442,0.000413442
84,2597.14,0.36035,1.70785,0.05093,0.21649,1.01647,0.99933,1,0.995,0.90282,0.99933,1,0.995,0.52133,0.51175,2.20916,0.03853,0.2764,1.02988,0.000411453,0.000411453,0.000411453
85,2617.83,0.36844,1.72283,0.05732,0.2193,1.02831,0.98751,1,0.99423,0.91488,0.97589,0.98824,0.99211,0.50503,0.47694,2.29559,0.03978,0.29908,1.02734,0.000409447,0.000409447,0.000409447
86,2637.54,0.39122,1.71634,0.04811,0.22748,1.04866,0.99947,0.98824,0.99477,0.87949,0.99947,0.98824,0.99298,0.53608,0.60358,2.19127,0.03789,0.29495,1.11321,0.000407423,0.000407423,0.000407423
87,2659.04,0.39972,1.7112,0.05475,0.22823,1.05939,0.99393,0.98824,0.9946,0.9225,0.99393,0.98824,0.99296,0.52607,0.4512,2.23041,0.03763,0.27608,1.00579,0.000405382,0.000405382,0.000405382
88,2678.83,0.38553,1.70774,0.05222,0.22496,1.0507,1,0.99331,0.995,0.90467,0.99408,0.98742,0.99254,0.51144,0.47764,2.26111,0.03765,0.29495,1.02441,0.000403324,0.000403324,0.000403324
