filename,color_label,white_score,black_score,orange_score,gray_score,other_score,consistency,edge_density,texture_var,lbp_complexity,has_stripes
ab5b62fd-15db-46fb-94c2-4aefcbd514be_jpg.rf.b55460e39dd2ccbd6ab0fca139ae134a.jpg,orange,0.0,0.005,0.816,0.0,0.179,0.009,11.6,761.77,244.35,False
abolfazl-babaei-wMylh9Kf_zE-unsplash_jpg.rf.d956574c2bf007c15e03cb04010654c8.jpg,black,0.0,0.611,0.228,0.0,0.161,0.023,4.78,102.5,245.8,False
about-shin-jV-SWhl7eHM-unsplash_jpg.rf.e3d52b14eb3d3bad025e39334effbd89.jpg,black,0.0,0.553,0.308,0.0,0.14,0.015,5.7,148.57,245.27,False
abyssinian-cat-home-with-her-owner-home-beautiful-purebred-short-haired-kitten-1-_jpg.rf.3be22c8c6203fcb97b45b52a02b354c4.jpg,orange,0.0,0.117,0.864,0.0,0.019,0.003,10.99,1081.08,244.13,False
abyssinian-cat-home-with-her-owner-home-beautiful-purebred-short-haired-kitten-2-_jpg.rf.d882b38705c2116adedf0a1060c4482b.jpg,orange,0.0,0.133,0.863,0.0,0.003,0.003,8.09,517.79,244.3,False
abyssinian-cat-isolated-1-_jpg.rf.441ced035f5dbf61ba661dfa25ab425d.jpg,orange,0.007,0.0,0.993,0.0,0.0,0.018,6.35,1108.19,242.38,False
abyssinian-cat-isolated_jpg.rf.51301521b29120db1a3f5dce3add764b.jpg,orange,0.0,0.0,1.0,0.0,0.0,0.005,5.89,909.23,245.13,False
adorable-cat-lifestyle_jpg.rf.c33d93d6ffa2d51634ef7348a3c7b31e.jpg,orange,0.146,0.292,0.418,0.024,0.12,0.018,8.24,997.28,244.01,False
adorable-fluffy-white-ragdoll-cat-playing-with-paper-balls-floor-light-room-looking-camera-with-blue-eyes-lovely-cute-purebred-feline-pet-outdoors-with-toys_jpg.rf.36750240c863449d2e8247c47c6bb4db.jpg,other,0.261,0.0,0.528,0.0,0.211,0.016,4.55,1775.2,248.25,False
adorable-little-cat-isolated-white-background_jpg.rf.38e28ec43e7604dc17c423b01e788e84.jpg,orange,0.0,0.0,1.0,0.0,0.0,0.003,8.58,1532.67,243.78,False
adult-beautiful-white-cat-with-different-colored-eyes-rubs-against-tree-trunk-summer-time_jpg.rf.2e8819a6bef61e8d880739d7fbf7c9c4.jpg,orange,0.007,0.0,0.799,0.0,0.195,0.015,6.3,2967.64,247.83,False
adult-cat-light-background-brick-house-outside_jpg.rf.ab659d5848fcf823b55b473bb170d1a4.jpg,orange,0.0,0.0,1.0,0.0,0.0,0.004,11.52,1640.17,239.65,False
adult-cat-pedigree-scottish-chinchilla-straight-ears-home_jpg.rf.b0c56358ff02dd55f3dc33f6c9fbb809.jpg,white,0.743,0.0,0.0,0.257,0.0,0.006,7.44,4945.72,240.51,False
aef5a522-8efe-46e6-9348-54faebf7189d_jpg.rf.484347e8e978222adaf74d481a39e7a4.jpg,other,0.127,0.322,0.035,0.321,0.195,0.002,7.19,293.9,246.59,False
ahmet-yuksek-JlGH37m6uDk-unsplash_jpg.rf.f6f4d2118f077baaf48a38119605c80d.jpg,orange,0.0,0.342,0.474,0.0,0.184,0.002,7.28,253.64,244.61,False
alireza-hashemi-YQMtP7Dni84-unsplash_jpg.rf.e6992c31f4d4933d644756742eed2c39.jpg,orange,0.0,0.382,0.391,0.0,0.227,0.008,4.98,144.2,243.73,False
amin-zabardast-7VTkPQ9RKY4-unsplash_jpg.rf.2ad85c616431202f9a53132488c49a73.jpg,orange,0.0,0.0,0.845,0.0,0.155,0.003,7.17,673.67,245.13,False
andreas-brun-vvxIgUIPj_g-unsplash_jpg.rf.934beb1b0edea1342340b607409a5bb6.jpg,black,0.0,0.757,0.006,0.225,0.011,0.026,8.63,107.38,235.56,False
andrey-chip-TyznDehMi-8-unsplash_jpg.rf.4f531e373ee640d4237e59673ca5c79d.jpg,orange,0.0,0.115,0.504,0.0,0.38,0.005,3.9,237.84,247.2,False
andy-luo-Ciydvyqi-94-unsplash_jpg.rf.92815a90ea6c7cf61a78e0e0d3c18096.jpg,orange,0.115,0.142,0.743,0.0,0.0,0.002,9.11,1327.82,244.92,False
andy-luo-o8hvwJg_edg-unsplash_jpg.rf.5bf2dd253ec80aa7d9f49955a9f53810.jpg,gray,0.1,0.313,0.067,0.471,0.049,0.004,7.87,679.87,241.1,False
andy-luo-P-vs_R1_W0I-unsplash_jpg.rf.9a5772cff00281699ddaa1de1305c8f8.jpg,other,0.0,0.203,0.28,0.076,0.441,0.002,10.89,968.15,243.35,False
angrygrandmama-RYEDN7w8k0g-unsplash_jpg.rf.784d95a6b31fe2e560de3ae3011d7691.jpg,black,0.0,0.712,0.154,0.0,0.134,0.015,6.24,149.11,242.82,False
animal-9737112_640_jpg.rf.b9b1a1eabce25706c56b232b8c95bccc.jpg,other,0.338,0.073,0.253,0.009,0.328,0.015,6.94,3519.17,245.3,False
animal-cat-pet-concept-serengeti-cat-grey-wall-2-_jpg.rf.7e2666ee8baa04a16d7ebd38df6618e5.jpg,orange,0.0,0.135,0.856,0.0,0.009,0.002,9.22,1015.42,243.26,False
animal-cat-pet-concept-serengeti-cat-grey-wall-4-_jpg.rf.44d46179b275d87cf72467c49b10a3fa.jpg,orange,0.0,0.093,0.787,0.0,0.12,0.003,8.75,1008.6,244.29,False
animal-cat-pet-concept-serengeti-cat-grey-wall_jpg.rf.cf9d59f706ffee50845c93257a55ce2e.jpg,orange,0.0,0.097,0.875,0.0,0.029,0.001,8.12,832.32,245.21,False
animals-wildlife-savannah-cat-desert-4-_jpg.rf.0a87099388413bc519b1234377502346.jpg,orange,0.0,0.134,0.811,0.0,0.054,0.003,11.43,1314.1,242.1,False
animals-wildlife-savannah-cat-desert_jpg.rf.8a6b2e7aaab6b6070a10fc30c22cc8b5.jpg,orange,0.0,0.166,0.831,0.0,0.004,0.002,14.54,1024.5,243.04,False
anna-kumpan-1zF-edEr54c-unsplash_jpg.rf.e699977473b0dc12a0ef7a0e43cea0f2.jpg,black,0.0,0.927,0.0,0.0,0.073,0.259,2.34,73.59,250.39,False
ariane-frei-iABPAQ0Xb7g-unsplash_jpg.rf.8a45fc1c7a420db3b107d4b4b9d7b2c2.jpg,gray,0.0,0.303,0.0,0.697,0.0,0.013,3.49,297.54,247.01,False
