filename,color_label,black_ratio,white_ratio,orange_ratio,gray_ratio,cream_ratio,chocolate_ratio,cinnamon_ratio
andy-luo-Ciydvyqi-94-unsplash_jpg.rf.92815a90ea6c7cf61a78e0e0d3c18096.jpg,orange,0.11,0.004,0.768,0.014,0.053,0.08,0.199
andy-luo-o8hvwJg_edg-unsplash_jpg.rf.5bf2dd253ec80aa7d9f49955a9f53810.jpg,black,0.355,0.0,0.266,0.184,0.062,0.072,0.234
andy-luo-P-vs_R1_W0I-unsplash_jpg.rf.9a5772cff00281699ddaa1de1305c8f8.jpg,orange,0.233,0.005,0.472,0.095,0.121,0.061,0.179
angrygrandmama-RYEDN7w8k0g-unsplash_jpg.rf.784d95a6b31fe2e560de3ae3011d7691.jpg,black,0.543,0.0,0.259,0.02,0.03,0.185,0.204
animal-9737112_640_jpg.rf.b9b1a1eabce25706c56b232b8c95bccc.jpg,orange,0.064,0.007,0.805,0.018,0.063,0.034,0.269
animal-cat-pet-concept-serengeti-cat-grey-wall-2-_jpg.rf.7e2666ee8baa04a16d7ebd38df6618e5.jpg,orange,0.141,0.0,1.0,0.0,0.0,0.198,0.001
animal-cat-pet-concept-serengeti-cat-grey-wall-4-_jpg.rf.44d46179b275d87cf72467c49b10a3fa.jpg,orange,0.107,0.0,1.0,0.0,0.0,0.161,0.001
animal-cat-pet-concept-serengeti-cat-grey-wall_jpg.rf.cf9d59f706ffee50845c93257a55ce2e.jpg,orange,0.098,0.0,1.0,0.0,0.0,0.148,0.0
animals-wildlife-savannah-cat-desert-4-_jpg.rf.0a87099388413bc519b1234377502346.jpg,orange,0.194,0.0,0.968,0.0,0.006,0.244,0.133
animals-wildlife-savannah-cat-desert_jpg.rf.8a6b2e7aaab6b6070a10fc30c22cc8b5.jpg,orange,0.216,0.0,0.898,0.0,0.001,0.206,0.034
anna-kumpan-1zF-edEr54c-unsplash_jpg.rf.e699977473b0dc12a0ef7a0e43cea0f2.jpg,black,0.279,0.0,0.0,0.013,0.0,0.0,0.0
ariane-frei-iABPAQ0Xb7g-unsplash_jpg.rf.8a45fc1c7a420db3b107d4b4b9d7b2c2.jpg,black,0.73,0.0,0.0,0.525,0.0,0.0,0.0
artem-astashov-zdGipsMUeWw-unsplash_jpg.rf.50bde99fb54a4db7e69d0762b76a4204.jpg,orange,0.332,0.0,0.944,0.002,0.0,0.351,0.017
artem-makarov-Dh8lrBIwUpc-unsplash_jpg.rf.de1a2ac7f25ff94f8fef6f45851d728e.jpg,orange,0.082,0.0,1.0,0.0,0.0,0.111,0.0
ata-mohammadiyan-_mCLPU-qUZI-unsplash_jpg.rf.44d815234efbef9b499c9a7717e66531.jpg,black,0.845,0.0,0.0,0.176,0.0,0.083,0.056
attentive-ginger-cat-standing-wooden-floor-near-wicker-basket-bedroom-background_jpg.rf.01fd6c5b03d12a7201a3f9fed2c29576.jpg,orange,0.079,0.0,0.999,0.0,0.0,0.147,0.0
bangyu-wang-l7DCQuOmX7Q-unsplash_jpg.rf.f139fec0865a8631fa833d6873c37d33.jpg,orange,0.015,0.004,0.963,0.0,0.025,0.018,0.064
beautiful-adult-fluffy-ragdoll-cat-isolated-white-background_jpg.rf.f82d658b8da2aed6b1b97cb12a3ce6ac.jpg,orange,0.104,0.007,0.521,0.032,0.22,0.171,0.561
beautiful-animal-scenery-background_jpg.rf.0557e6a89143c8028615b3fe118e5a23.jpg,black,0.381,0.004,0.072,0.253,0.136,0.128,0.419
beautiful-cat-home_jpg.rf.feb728947d598205302acf3cb4fbbd19.jpg,orange,0.002,0.003,0.972,0.001,0.027,0.014,0.084
beautiful-cat-walks-streets-city_jpg.rf.6c2aed030d9d2b9ed5bc2f43c6184f92.jpg,black,0.266,0.0,0.165,0.039,0.197,0.319,0.576
beautiful-gray-cat-brick-wall-background_jpg.rf.34634f58f551d1958115bf87fdae780a.jpg,black,0.492,0.0,0.0,0.083,0.002,0.301,0.24
beautiful-kitten-where-else-can-rest-after-hard-day-s-work-if-dining-table_jpg.rf.c13eae501ca48adf250131e21fdb4169.jpg,gray,0.0,0.0,0.046,0.652,0.087,0.0,0.0
beautiful-procida-island-with-colorful-houses-sunny-summer-day-italy_jpg.rf.8bd2010a6d0ce9bb20c3cd55642919ca.jpg,orange,0.003,0.0,1.0,0.0,0.0,0.006,0.001
beautiful-purebred-bengal-cat-domestic-animal-pets-white-interior-with-bright-pink-armchair_jpg.rf.d6bd3b229eb92eaa2ebc1fa40e651180.jpg,orange,0.245,0.0,0.707,0.0,0.009,0.193,0.113
beautiful-retro-nature-with-black-cat_jpg.rf.9d8535dcfbfdf1e18a6adbd2479e9d5e.jpg,black,0.687,0.0,0.074,0.086,0.012,0.0,0.141
beautiful-white-cat-gray-background_jpg.rf.ff77f0b8406570ca4959706db014b0b8.jpg,gray,0.0,0.0,0.0,0.828,0.204,0.0,0.859
beige-kitten-1-_jpg.rf.ecf72443be0fc86289603ee01051a174.jpg,orange,0.0,0.209,0.28,0.0,0.7,0.0,0.936
bengal-cat-1-_jpg.rf.6b456d48514dab8e90be43e6be24490d.jpg,black,0.456,0.017,0.0,0.432,0.129,0.041,0.409
bengal-cat-looking-up_jpg.rf.605a7ab7743b443904fb9dc6cd4de4d1.jpg,black,0.285,0.003,0.194,0.043,0.225,0.273,0.564
bengal-cat-studio-3-_jpg.rf.0dab8d2fa22d55b55cac3ba6e8dacd8f.jpg,black,0.292,0.019,0.201,0.171,0.258,0.191,0.521
bengal-cat-studio_jpg.rf.1982412456651d39029a6dddc0dad8f7.jpg,orange,0.037,0.066,0.321,0.013,0.539,0.055,0.833
bengal-kitten-6-months-old_jpg.rf.65b1e21c22acc31360619caa21bbf789.jpg,orange,0.213,0.001,0.886,0.002,0.054,0.273,0.277
bengal-kitten-playing-blue-background-cute-purebreed-cat_jpg.rf.8e53087ed9a0aed9291d723998255fc6.jpg,orange,0.272,0.0,0.71,0.001,0.025,0.31,0.217
bengal-walking-front-white-wall_jpg.rf.dade8ef43c3fb16d19e6b2df4533cc84.jpg,orange,0.204,0.0,0.992,0.0,0.0,0.256,0.007
big-red-cat-his-shadow-sunny-spring-morning-moscow-region-russia_jpg.rf.a7c4325c747b3ed127da1f6452a1a809.jpg,orange,0.312,0.0,0.977,0.0,0.002,0.492,0.02
birman-cat-studio_jpg.rf.ca656c5126b7ab9c03258a91c6a07607.jpg,other,0.0,0.129,0.172,0.017,0.797,0.002,0.941
black-cat-runs-across-road_jpg.rf.4ff61f187acb243bd77468dc98b50bc4.jpg,black,0.932,0.0,0.001,0.031,0.0,0.0,0.0
black-cat-walking-minimalist-white-room-with-soft-natural-light-shadows_jpg.rf.d459cce5bc66637cff4d75f725bbb496.jpg,black,1.0,0.0,0.0,0.007,0.0,0.0,0.0
black-dog-against-plants_jpg.rf.709a266b0105b204880cc57d84c29b57.jpg,black,1.0,0.0,0.0,0.0,0.0,0.0,0.0
black-domestic-cat-warms-walks-battery-looking-camera_jpg.rf.6e57fa2c13b530693b136453d5c65c4a.jpg,black,0.542,0.0,0.076,0.165,0.007,0.062,0.084
black-white-cat-is-walking-gray-background_jpg.rf.b326be4af7791f14d3481ac0066c705e.jpg,other,0.02,0.003,0.0,0.034,0.0,0.0,0.0
brian-wangenheim-JxWQIPhpvmc-unsplash_jpg.rf.8b3bea89949289ddbc74d5b0e3a8977d.jpg,black,0.393,0.0,0.116,0.044,0.07,0.35,0.395
british-blue-shorthair-colourpoint-cat-staying_jpg.rf.dc9e1150aa578e00d0e6c1f9d24f0bef.jpg,other,0.167,0.002,0.0,0.023,0.287,0.21,0.72
british-shorthair-kitten_jpg.rf.a77bc1dc6bb1c1c4372dd866e658b535.jpg,other,0.035,0.015,0.0,0.005,0.446,0.075,0.912
brown-scottish-straight-cat_jpg.rf.b816dcb5f6cd2d88ad1579d7b9bc76b9.jpg,orange,0.264,0.0,0.993,0.0,0.0,0.322,0.035
brown-stray-cat-walking-sidewalk-streets-pelourinho-homeless-animal_jpg.rf.71bfa979cfa0f70b53de4ef04fd6709d.jpg,orange,0.043,0.0,0.998,0.0,0.001,0.081,0.06
bundo-kim-Y0cA1Ot0hKw-unsplash_jpg.rf.b83fd912b39cec7e1a9f658e016e81ae.jpg,orange,0.173,0.001,0.335,0.015,0.024,0.0,0.074
c3415700-1a07-466f-915b-489a005c26db_jpg.rf.1aa94f6f8bf69bf450cafa31cdd678ba.jpg,orange,0.0,0.0,0.997,0.0,0.002,0.002,0.008
capturing-essence-feline-agility-curiosity-dynamic-energetic-attitude-this-amusing-sideview-image-features-cat-sprinting-clear-background-generative-ai-1-_jpg.rf.6ea0331fe0fa1b88367a5bf173164205.jpg,orange,0.265,0.0,0.575,0.002,0.003,0.048,0.061
capturing-essence-feline-agility-curiosity-dynamic-energetic-attitude-this-amusing-sideview-image-features-cat-sprinting-clear-background-generative-ai_jpg.rf.9850f0367df7106f0e7c92d7da2f4e71.jpg,orange,0.176,0.0,0.917,0.001,0.002,0.149,0.02
cat-1074729_jpg.rf.72e29e01de75a35f814d0c1573a4d892.jpg,orange,0.425,0.0,0.55,0.012,0.003,0.443,0.147
cat-1225500_640_jpg.rf.4836dbb5afd789571d528c42bdeeca21.jpg,orange,0.008,0.0,0.998,0.0,0.001,0.018,0.063
cat-1309871_640_jpg.rf.4f63d972d63c5677436c368cdd9e393c.jpg,black,0.32,0.021,0.019,0.271,0.209,0.132,0.365
cat-2219167_640_jpg.rf.8f233352a5fc3f40786d67a7ed101b94.jpg,orange,0.019,0.0,0.998,0.0,0.0,0.031,0.0
cat-2690236_640_jpg.rf.2dd54a996c507c77b28607d4ef3f6471.jpg,gray,0.42,0.0,0.0,0.44,0.0,0.0,0.0
cat-2731321_640_jpg.rf.ead4e290409bd7dd88b733ea73e0eb62.jpg,black,0.373,0.0,0.004,0.236,0.165,0.128,0.443
cat-2803491_640_jpg.rf.abb18b09203efcdb2a84602112b19a81.jpg,orange,0.008,0.0,0.998,0.0,0.001,0.009,0.006
cat-3391507_jpg.rf.26b9cc58c381ef25d91455337bb92ac4.jpg,orange,0.252,0.0,0.77,0.002,0.055,0.286,0.283
cat-4232979_640_jpg.rf.4f4d9ca0236f02aa41cc5f20ef27f534.jpg,black,0.25,0.025,0.054,0.05,0.287,0.309,0.645
