frame,kpt_id,conf,dx,dy,disp,norm_disp,ema_disp,accel,body_scale,frame_gap,tracking_quality
181,7,0.99902344,-8.006226,1.3343811,8.116663,0.026136108,0.049998403,-6.416736602783203,310.55362,1,1.0
181,8,1.0,-13.34375,-6.171509,14.701809,0.047340646,0.052992634,7.609466075897217,310.55362,1,1.0
181,9,0.99853516,-16.012512,-4.6703186,16.6797,0.053709567,0.08722123,6.761234283447266,310.55362,1,1.0
181,10,0.99853516,-7.3390503,1.8347473,7.564916,0.024359452,0.04388123,-14.363645553588867,310.55362,1,1.0
181,11,0.99609375,1.8347626,2.0015564,2.7152498,0.008743256,0.06872254,-34.79737091064453,310.55362,1,1.0
181,12,1.0,-15.011719,-0.16680908,15.012646,0.048341557,0.022715952,11.91003704071045,310.55362,1,1.0
181,13,0.9946289,-19.014832,3.0023499,19.2504,0.061987367,0.041844077,5.703862190246582,310.55362,1,1.0
181,14,0.9995117,-19.014847,-2.0015564,19.119902,0.06156715,0.037965596,12.852242469787598,310.55362,1,1.0
181,15,0.99560547,-14.511322,-6.3382874,15.835162,0.05099011,0.038169026,6.281036376953125,310.55362,1,1.0
181,16,0.8408203,-3.6695328,-12.843353,13.357289,0.04301122,0.041625388,2.465569496154785,310.55362,1,1.0
182,0,0.9941406,-2.6687622,1.167572,2.9129908,0.009362894,0.011007711,0.3669545650482178,311.12076,1,1.0
182,1,0.99902344,1.0007935,3.0023499,3.164758,0.010172121,0.015092411,-1.042522668838501,311.12076,1,1.0
182,2,0.9995117,-1.0007935,1.0841827,1.4754795,0.0047424654,0.015473394,-5.1466851234436035,311.12076,1,1.0
182,3,0.9980469,-6.338257,4.003128,7.496568,0.024095366,0.01750921,2.907367706298828,311.12076,1,1.0
182,4,1.0,-6.004669,1.1675873,6.1171327,0.019661602,0.018383732,-1.8769636154174805,311.12076,1,1.0
182,5,1.0,-6.3382874,1.0007935,6.4168115,0.020624826,0.034443934,-19.289941787719727,311.12076,1,1.0
182,6,1.0,-12.009369,4.6703186,12.885528,0.041416485,0.034273233,3.507754325866699,311.12076,1,1.0
182,7,0.99902344,-17.346893,-0.33358765,17.3501,0.05576645,0.05172882,9.233436584472656,311.12076,1,1.0
182,8,1.0,-8.673462,1.3343811,8.775506,0.028206108,0.045556676,-5.926302909851074,311.12076,1,1.0
182,9,0.99853516,-11.342163,1.3343811,11.420387,0.03670725,0.07206704,-5.259313583374023,311.12076,1,1.0
182,10,0.99853516,-1.0007935,-0.6671753,1.2027928,0.0038659996,0.03187666,-6.362123489379883,311.12076,1,1.0
182,11,0.99560547,6.0046844,-4.336731,7.406988,0.023807438,0.055248007,4.691738128662109,311.12076,1,1.0
182,12,1.0,-8.8402405,1.3343811,8.940381,0.028736047,0.02452198,-6.072264671325684,311.12076,1,1.0
182,13,0.9941406,-16.179321,-2.335144,16.346968,0.052542195,0.04505351,-2.903432846069336,311.12076,1,1.0
182,14,0.9995117,-7.0054626,0.16679382,7.007448,0.022523243,0.03333289,-12.11245346069336,311.12076,1,1.0
182,15,0.9951172,-10.841797,-8.8402405,13.989081,0.04496351,0.04020737,-1.8460807800292969,311.12076,1,1.0
182,16,0.8203125,-3.3359375,-19.515228,19.798298,0.06363542,0.048228398,6.441008567810059,311.12076,1,1.0
183,0,0.9951172,-7.005493,5.504303,8.9092245,0.029335849,0.016506154,5.996233940124512,303.6975,1,1.0
183,1,0.99902344,-6.0046997,0.25019836,6.00991,0.019789131,0.016501427,2.8451521396636963,303.6975,1,1.0
183,2,0.9995117,-7.3390503,0.8339844,7.386284,0.024321187,0.018127732,5.910804271697998,303.6975,1,1.0
183,3,0.9975586,-9.340637,2.0015564,9.552682,0.031454593,0.021692825,2.0561137199401855,303.6975,1,1.0
183,4,1.0,-2.6687622,-1.5011749,3.0619957,0.010082386,0.015893329,-3.0551369190216064,303.6975,1,1.0
183,5,1.0,0.0,-6.1714935,6.1714935,0.020321187,0.030207109,-0.24531793594360352,303.6975,1,1.0
183,6,1.0,-4.6703186,3.5027466,5.8379025,0.019222755,0.029758088,-7.0476250648498535,303.6975,1,1.0
183,7,0.99902344,-11.342194,1.6679688,11.464182,0.037748687,0.04753478,-5.885917663574219,303.6975,1,1.0
183,8,1.0,-8.673401,1.3343811,8.775446,0.02889535,0.04055828,-6.008148193359375e-05,303.6975,1,1.0
183,9,0.9980469,-12.676575,3.6695251,13.197005,0.04345444,0.06348325,1.7766180038452148,303.6975,1,1.0
183,10,0.99853516,-4.169922,-1.8347778,4.555728,0.015000873,0.026813924,3.352935314178467,303.6975,1,1.0
183,11,0.9946289,-1.3343658,-2.3351746,2.6895301,0.008855951,0.04133039,-4.7174577713012695,303.6975,1,1.0
183,12,1.0,-14.010925,-2.0015564,14.153172,0.046602856,0.031146243,5.212790489196777,303.6975,1,1.0
183,13,0.9926758,-30.523819,-3.0023499,30.671122,0.10099234,0.061835162,14.324153900146484,303.6975,1,1.0
183,14,0.99902344,3.0023499,-7.672653,8.239158,0.027129486,0.03147187,1.2317094802856445,303.6975,1,1.0
183,15,0.99365234,-5.337509,-12.342957,13.447586,0.04427954,0.04142902,-0.5414953231811523,303.6975,1,1.0
183,16,0.8051758,-3.5027313,-20.015625,20.319803,0.06690803,0.053832285,0.5215053558349609,303.6975,1,1.0
184,0,0.99658203,-2.0015259,2.1683502,2.9509063,0.009804175,0.01449556,-5.95831823348999,300.98465,1,1.0
184,1,0.99902344,0.0,-1.4177856,1.4177856,0.0047104917,0.012964146,-4.5921244621276855,300.98465,1,1.0
184,2,0.9995117,-6.671875,-1.0841827,6.7593913,0.022457594,0.01942669,-0.6268925666809082,300.98465,1,1.0
184,3,0.9975586,-11.342163,0.66719055,11.36177,0.03774867,0.02650958,1.8090877532958984,300.98465,1,1.0
184,4,1.0,-8.339844,-2.1683655,8.617123,0.028629774,0.019714262,5.555127143859863,300.98465,1,1.0
184,5,1.0,-8.673431,1.1675873,8.751666,0.029076785,0.02986801,2.580172538757324,300.98465,1,1.0
184,6,1.0,-10.3414,-0.6672058,10.362901,0.034429997,0.031159662,4.524998188018799,300.98465,1,1.0
184,7,0.99902344,-10.0078125,2.0015564,10.206005,0.033908725,0.04344696,-1.2581768035888672,300.98465,1,1.0
184,8,1.0,-14.678162,-2.6687622,14.918804,0.04956666,0.043260794,6.14335823059082,300.98465,1,1.0
184,9,0.99853516,-14.678101,-0.33358765,14.681891,0.048779536,0.059072137,1.4848861694335938,300.98465,1,1.0
184,10,0.99853516,-1.5011597,0.16680908,1.5103992,0.0050181937,0.020275205,-3.0453286170959473,300.98465,1,1.0
184,11,0.99560547,7.839447,-0.6671753,7.8677855,0.026140155,0.03677332,5.178255081176758,300.98465,1,1.0
184,12,1.0,-10.841797,1.167572,10.904485,0.036229372,0.032671183,-3.2486867904663086,300.98465,1,1.0
184,13,0.99365234,-12.676559,-0.6671753,12.694104,0.042175256,0.05593719,-17.97701644897461,300.98465,1,1.0
184,14,0.99902344,-7.3390656,2.3351593,7.701614,0.025588062,0.029706728,-0.537543773651123,300.98465,1,1.0
184,15,0.9946289,-4.3367157,8.339844,9.400005,0.031230846,0.038369566,-4.047580718994141,300.98465,1,1.0
184,16,0.8100586,-4.3367233,-5.0039062,6.6216497,0.021999959,0.04428259,-13.698153495788574,300.98465,1,1.0
185,0,0.9941406,-5.0039062,-5.5042877,7.4388347,0.02562102,0.017833197,4.48792839050293,290.3411,1,1.0
185,1,0.99853516,-13.34375,-3.4193268,13.774885,0.0474438,0.023308042,12.357099533081055,290.3411,1,1.0
185,2,0.9995117,-3.6695557,0.25019836,3.6780753,0.012668118,0.01739912,-3.0813159942626953,290.3411,1,1.0
185,3,0.99658203,-8.339844,-2.8355408,8.808705,0.030339161,0.027658453,-2.5530643463134766,290.3411,1,1.0
185,4,1.0,-2.6687622,-1.3343658,2.9837599,0.0102767395,0.016883004,-5.633362770080566,290.3411,1,1.0
185,5,1.0,3.0023499,-4.503525,5.4125633,0.018642085,0.026500233,-3.3391027450561523,290.3411,1,1.0
185,6,1.0,-7.6726685,3.169159,8.301411,0.028591925,0.03038934,-2.061490058898926,290.3411,1,1.0
185,7,0.99853516,-16.679688,-1.6679688,16.762878,0.057735123,0.04773341,6.556873321533203,290.3411,1,1.0
185,8,1.0,-6.671875,-3.0023193,7.3162723,0.025198886,0.03784222,-7.602531909942627,290.3411,1,1.0
