frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
73,0.9995,0.9893,0.9980,0.9995,1.0000,1.0000,0.9990,0.9897,1.0000,0.9990,0.9873,0.9937,1.0000,0.9995,0.0000,0.0000,0.0000,0.9751
74,0.9995,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9893,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
75,0.9995,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9883,0.9941,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
76,0.9995,0.9893,0.9980,0.9995,1.0000,1.0000,0.9990,0.9902,1.0000,0.9990,0.9878,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9751
77,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9897,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
78,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
79,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9902,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
80,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9902,1.0000,0.9990,0.9883,0.9941,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
81,0.9995,0.9893,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9902,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
82,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9912,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
83,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
84,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9902,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
85,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9897,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
86,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9917,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
87,1.0000,0.9922,0.9990,0.9995,1.0000,1.0000,0.9990,0.9854,1.0000,0.9985,0.9888,0.9922,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
88,1.0000,0.9922,0.9990,0.9995,1.0000,1.0000,0.9990,0.9858,1.0000,0.9985,0.9888,0.9927,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
89,1.0000,0.9922,0.9990,0.9995,1.0000,1.0000,0.9990,0.9858,1.0000,0.9985,0.9878,0.9917,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
90,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9927,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
91,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
92,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
93,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9761
94,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9917,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
95,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9907,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
96,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9902,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
97,0.9995,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9888,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9756
98,1.0000,0.9897,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9897,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
99,1.0000,0.9893,0.9980,0.9995,1.0000,1.0000,0.9990,0.9902,1.0000,0.9990,0.9897,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
100,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
101,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
102,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
103,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
104,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
105,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9917,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
