epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1242.32,0.41534,1.0915,0.05997,0.24061,1.08179,0.99929,0.99412,0.995,0.89458,1,0.98175,0.9926,0.64337,0.54068,1.58588,0.03932,0.30483,1.06498,0.000450754,0.000450754,0.000450754
63,1262.32,0.44931,1.12275,0.06456,0.25647,1.12074,0.9883,0.99349,0.99465,0.85391,0.99408,0.9882,0.99248,0.63868,0.6458,1.57973,0.03702,0.3202,1.16571,0.000449183,0.000449183,0.000449183
64,1282.4,0.42207,1.0767,0.0617,0.2452,1.07721,0.99919,0.99412,0.995,0.81687,0.99919,0.99412,0.995,0.6359,0.78728,1.5475,0.03414,0.33466,1.32393,0.000447591,0.000447591,0.000447591
65,1302.25,0.41554,1.05085,0.06282,0.24137,1.07762,0.99952,1,0.995,0.87032,0.99952,1,0.995,0.66892,0.62614,1.44151,0.0369,0.29277,1.14805,0.000445977,0.000445977,0.000445977
66,1323.05,0.41571,1.09829,0.06351,0.24376,1.07913,0.99378,1,0.99488,0.84489,0.99214,0.99412,0.99488,0.66827,0.69411,1.48574,0.03646,0.31899,1.20972,0.000444342,0.000444342,0.000444342
67,1342.56,0.39478,1.0598,0.06574,0.2386,1.07007,1,0.99943,0.995,0.8729,0.99965,0.99412,0.995,0.65458,0.59685,1.54167,0.0365,0.28781,1.09254,0.000442686,0.000442686,0.000442686
68,1362.04,0.39636,1.0352,0.05807,0.2379,1.05914,1,0.99939,0.995,0.88304,0.99377,0.98824,0.99184,0.68168,0.60045,1.42273,0.0346,0.29519,1.12033,0.000441008,0.000441008,0.000441008
69,1381.58,0.38348,0.9948,0.05535,0.23036,1.0542,1,0.99972,0.995,0.90917,0.99513,0.98824,0.99187,0.67691,0.48404,1.43411,0.03318,0.28158,1.03035,0.00043931,0.00043931,0.00043931
70,1401.05,0.39343,1.03256,0.06964,0.23572,1.07364,1,0.99971,0.995,0.88877,0.9876,0.98235,0.99,0.709,0.56323,1.35349,0.03607,0.28324,1.06054,0.00043759,0.00043759,0.00043759
71,1420.54,0.38762,0.98978,0.06385,0.23552,1.05024,0.99415,0.99949,0.995,0.87127,0.99577,0.98824,0.99268,0.69167,0.60929,1.408,0.03553,0.30279,1.11893,0.00043585,0.00043585,0.00043585
72,1440.14,0.37793,0.97575,0.05447,0.23354,1.04199,0.99408,1,0.99488,0.86825,0.98824,0.98823,0.99232,0.68165,0.61474,1.42536,0.03448,0.29772,1.11731,0.00043409,0.00043409,0.00043409
73,1459.47,0.38876,0.9893,0.05892,0.23771,1.06201,0.99391,0.99412,0.99488,0.87029,0.98803,0.98824,0.99471,0.70476,0.61101,1.30735,0.03505,0.29048,1.1241,0.00043231,0.00043231,0.00043231
74,1478.97,0.39953,1.00723,0.06311,0.23784,1.05918,0.99341,1,0.99494,0.83299,0.99402,0.97734,0.99238,0.68565,0.74044,1.43003,0.03422,0.32518,1.2443,0.00043051,0.00043051,0.00043051
75,1498.31,0.38835,0.98844,0.06051,0.23504,1.04096,0.98837,0.99945,0.99494,0.90282,1,0.98017,0.99483,0.69614,0.49104,1.39006,0.03526,0.2851,1.02823,0.00042869,0.00042869,0.00042869
76,1517.88,0.38684,0.98289,0.05691,0.23409,1.04515,0.99415,0.99961,0.99465,0.85693,0.99415,0.99961,0.99465,0.69904,0.66052,1.35383,0.03412,0.30896,1.17989,0.00042685,0.00042685,0.00042685
77,1537.47,0.38164,0.99021,0.06046,0.22969,1.04595,0.99925,1,0.995,0.89456,0.99337,0.99412,0.99494,0.70457,0.53828,1.30793,0.03591,0.27241,1.04587,0.000424991,0.000424991,0.000424991
78,1556.82,0.38107,0.9427,0.05692,0.2252,1.04855,0.99943,0.99412,0.995,0.90654,1,0.98651,0.99483,0.70803,0.4862,1.36615,0.0356,0.27855,1.01661,0.000423113,0.000423113,0.000423113
79,1576.46,0.38158,0.95017,0.05655,0.22645,1.04081,1,0.99935,0.995,0.83432,0.99411,0.99347,0.99494,0.70944,0.70145,1.30085,0.03519,0.31049,1.20336,0.000421216,0.000421216,0.000421216
80,1596.35,0.3612,0.96325,0.05307,0.22088,1.02373,1,0.99379,0.995,0.87198,0.99408,0.98791,0.99325,0.71533,0.61285,1.33933,0.03537,0.30964,1.12584,0.0004193,0.0004193,0.0004193
81,1616.88,0.36068,0.90042,0.05286,0.21817,1.01931,0.99412,0.99396,0.99488,0.89114,0.9932,0.98235,0.9927,0.70927,0.54106,1.35663,0.03677,0.30164,1.0755,0.000417365,0.000417365,0.000417365
82,1636.84,0.36753,0.90861,0.05777,0.22183,1.02687,0.99949,0.99412,0.995,0.85633,1,0.98727,0.99256,0.70347,0.65412,1.31609,0.03348,0.30888,1.15432,0.000415413,0.000415413,0.000415413
83,1656.54,0.36214,0.88922,0.0596,0.21573,1.01664,1,0.99984,0.995,0.91097,1,0.99984,0.995,0.71486,0.46215,1.24048,0.03315,0.2633,1.00816,0.000413442,0.000413442,0.000413442
84,1675.99,0.34496,0.85482,0.05216,0.21429,1.00224,0.99948,1,0.995,0.8733,0.99361,0.99412,0.99494,0.72346,0.59435,1.24263,0.03341,0.29524,1.12376,0.000411453,0.000411453,0.000411453
85,1695.53,0.34745,0.86074,0.05528,0.21292,1.00574,1,0.99976,0.995,0.8976,1,0.99976,0.995,0.7322,0.51628,1.18003,0.0346,0.2835,1.05845,0.000409447,0.000409447,0.000409447
86,1715.32,0.35979,0.85878,0.04645,0.2148,1.01933,0.99415,0.99962,0.995,0.90253,0.9883,0.99374,0.99488,0.74457,0.49025,1.16628,0.03337,0.27518,1.02159,0.000407423,0.000407423,0.000407423
87,1734.89,0.3563,0.884,0.05512,0.22211,1.01901,0.99967,1,0.995,0.91195,0.99379,0.99412,0.99494,0.72921,0.45636,1.2333,0.034,0.26263,0.9998,0.000405382,0.000405382,0.000405382
88,1754.33,0.35904,0.89168,0.05552,0.21878,1.02795,1,0.99965,0.995,0.88221,0.99412,0.99376,0.99471,0.73717,0.58346,1.19075,0.03401,0.28442,1.10082,0.000403324,0.000403324,0.000403324
89,1774.17,0.36814,0.87344,0.05119,0.22056,1.02888,0.99979,0.99412,0.995,0.89497,0.99979,0.99412,0.995,0.73295,0.52877,1.22149,0.03276,0.28122,1.04645,0.000401249,0.000401249,0.000401249
90,1793.66,0.36954,0.92866,0.05114,0.22705,1.02833,0.99935,0.98824,0.99494,0.89943,0.99935,0.98824,0.99494,0.71546,0.5151,1.30291,0.03443,0.2823,1.03703,0.000399157,0.000399157,0.000399157
91,1812.95,0.37655,0.90305,0.057,0.22673,1.03835,0.99921,0.99412,0.995,0.86586,0.9933,0.98824,0.99477,0.71693,0.62721,1.2232,0.03324,0.29524,1.13866,0.000397049,0.000397049,0.000397049
92,1832.58,0.35045,0.87889,0.0507,0.2142,1.01844,1,0.99958,0.995,0.88219,0.99412,0.9937,0.99488,0.71896,0.55016,1.2179,0.03364,0.27574,1.07396,0.000394925,0.000394925,0.000394925
93,1851.75,0.33358,0.84449,0.06033,0.21385,0.99908,0.99992,0.99412,0.995,0.86173,0.99941,0.98824,0.99289,0.72265,0.59779,1.27767,0.03235,0.29665,1.11807,0.000392786,0.000392786,0.000392786
