run_tag,model_name,video_name,sample_index,source_frame_id,mean_confidence,active_kpts,frame_jitter,unstable
20260510_225358,val_best.pt,2752855.mp4,136,273,0.983686,17,0.019193,0
20260510_225358,val_best.pt,2752855.mp4,137,275,0.983973,17,0.019585,0
20260510_225358,val_best.pt,2752855.mp4,138,277,0.985036,17,0.017403,0
20260510_225358,val_best.pt,2752855.mp4,139,279,0.984231,17,0.016120,0
20260510_225358,val_best.pt,2752855.mp4,140,281,0.985668,17,0.017347,0
20260510_225358,val_best.pt,2752855.mp4,141,283,0.986472,17,0.024982,0
20260510_225358,val_best.pt,2752855.mp4,142,285,0.984634,17,0.031971,0
20260510_225358,val_best.pt,2752855.mp4,143,287,0.983140,17,0.017755,0
20260510_225358,val_best.pt,2752855.mp4,144,289,0.985122,17,0.022869,0
20260510_225358,val_best.pt,2752855.mp4,145,291,0.986529,17,0.018943,0
20260510_225358,val_best.pt,2752855.mp4,146,293,0.986156,17,0.021560,0
20260510_225358,val_best.pt,2752855.mp4,147,295,0.988482,17,0.019395,0
20260510_225358,val_best.pt,2752855.mp4,148,297,0.984777,17,0.025515,0
20260510_225358,val_best.pt,2752855.mp4,149,299,0.985409,17,0.020082,0
20260510_225358,val_best.pt,2752855.mp4,150,301,0.983743,17,0.027389,0
20260510_225358,val_best.pt,2752855.mp4,151,303,0.986242,17,0.014360,0
20260510_225358,val_best.pt,2752855.mp4,152,305,0.982049,17,0.031315,0
20260510_225358,val_best.pt,2752855.mp4,153,307,0.982824,17,0.025413,0
20260510_225358,val_best.pt,2752855.mp4,154,309,0.983944,17,0.022122,0
20260510_225358,val_best.pt,2752855.mp4,155,311,0.982221,17,0.019730,0
20260510_225358,val_best.pt,2752855.mp4,156,313,0.981876,17,0.016404,0
20260510_225358,val_best.pt,2752855.mp4,157,315,0.983915,17,0.017419,0
20260510_225358,val_best.pt,2752855.mp4,158,317,0.982680,17,0.026121,0
20260510_225358,val_best.pt,2752855.mp4,159,319,0.984461,17,0.020657,0
20260510_225358,val_best.pt,2752855.mp4,160,321,0.983111,17,0.019792,0
20260510_225358,val_best.pt,2752855.mp4,161,323,0.985237,17,0.020063,0
20260510_225358,val_best.pt,2752855.mp4,162,325,0.986788,17,0.026511,0
20260510_225358,val_best.pt,2752855.mp4,163,327,0.988913,17,0.025033,0
20260510_225358,val_best.pt,2752855.mp4,164,329,0.988568,17,0.020252,0
20260510_225358,val_best.pt,2752855.mp4,165,331,0.989401,17,0.023062,0
20260510_225358,val_best.pt,2752855.mp4,166,333,0.989574,17,0.021710,0
20260510_225358,val_best.pt,2752855.mp4,167,335,0.989976,17,0.026657,0
20260510_225358,val_best.pt,2752855.mp4,168,337,0.986759,17,0.022846,0
20260510_225358,val_best.pt,2752855.mp4,169,339,0.983915,17,0.025224,0
20260510_225358,val_best.pt,2752855.mp4,170,341,0.983226,17,0.039427,0
20260510_225358,val_best.pt,2752855.mp4,171,343,0.979952,17,0.022764,0
20260510_225358,val_best.pt,2752855.mp4,172,345,0.982623,17,0.023738,0
20260510_225358,val_best.pt,2752855.mp4,173,347,0.978401,17,0.023646,0
20260510_225358,val_best.pt,2752855.mp4,174,349,0.983944,17,0.025066,0
20260510_225358,val_best.pt,2752855.mp4,175,351,0.984547,17,0.021253,0
20260510_225358,val_best.pt,2752855.mp4,176,353,0.982824,17,0.025844,0
20260510_225358,val_best.pt,2752855.mp4,177,355,0.981532,17,0.024565,0
20260510_225358,val_best.pt,2752855.mp4,178,357,0.981503,17,0.014389,0
20260510_225358,val_best.pt,2752855.mp4,179,359,0.982594,17,0.016005,0
20260510_225358,val_best.pt,2752855.mp4,180,361,0.982594,17,0.020695,0
20260510_225358,val_best.pt,2752855.mp4,181,363,0.983312,17,0.024252,0
20260510_225358,val_best.pt,2752855.mp4,182,365,0.985237,17,0.026271,0
20260510_225358,val_best.pt,2752855.mp4,183,367,0.985811,17,0.025491,0
20260510_225358,val_best.pt,2752855.mp4,184,369,0.985495,17,0.016939,0
20260510_225358,val_best.pt,2752855.mp4,185,371,0.987017,17,0.020639,0
20260510_225358,val_best.pt,2752855.mp4,186,373,0.986673,17,0.020243,0
20260510_225358,val_best.pt,2752855.mp4,187,375,0.985151,17,0.023804,0
20260510_225358,val_best.pt,2752855.mp4,188,377,0.985668,17,0.018879,0
20260510_225358,val_best.pt,2752855.mp4,189,379,0.984375,17,0.029628,0
20260510_225358,val_best.pt,2752855.mp4,190,381,0.985869,17,0.027352,0
20260510_225358,val_best.pt,2752855.mp4,191,383,0.984634,17,0.024092,0
20260510_225358,val_best.pt,2752855.mp4,192,385,0.983542,17,0.030383,0
20260510_225358,val_best.pt,2752855.mp4,193,387,0.985036,17,0.024843,0
20260510_225358,val_best.pt,2752855.mp4,194,389,0.983944,17,0.021065,0
20260510_225358,val_best.pt,2752855.mp4,195,391,0.984002,17,0.020291,0
20260510_225358,val_best.pt,2752855.mp4,196,393,0.983973,17,0.031288,0
