date,time,behavior_id,behavior_name,duration_sec,activity
2026-05-05,19:50:27,1,舔舐,2.1,16
2026-05-05,19:50:29,1,舔舐,2.1,13
2026-05-05,19:50:31,1,舔舐,2.1,11
2026-05-05,19:50:33,1,舔舐,2.1,15
2026-05-05,19:50:35,1,舔舐,2.1,8
2026-05-05,19:50:37,1,舔舐,2.1,12
2026-05-05,19:50:39,1,舔舐,2.1,15
2026-05-05,19:50:41,1,舔舐,2.1,16
2026-05-05,19:50:43,1,舔舐,2.1,12
2026-05-05,19:50:45,1,舔舐,2.1,12
2026-05-05,19:50:48,1,舔舐,2.1,10
2026-05-05,19:50:50,1,舔舐,2.1,9
2026-05-05,19:50:52,1,舔舐,2.1,8
2026-05-05,19:50:54,1,舔舐,2.1,19
2026-05-05,19:50:56,1,舔舐,2.1,10
2026-05-05,19:50:58,1,舔舐,2.1,5
2026-05-05,19:51:00,1,舔舐,2.1,3
2026-05-05,19:51:02,1,舔舐,2.1,8
2026-05-05,19:51:04,1,舔舐,2.1,10
2026-05-05,19:51:06,1,舔舐,2.1,10
2026-05-05,19:51:09,1,舔舐,2.1,9
2026-05-05,19:51:11,1,舔舐,2.1,6
2026-05-05,19:51:13,1,舔舐,2.1,3
2026-05-05,19:51:15,1,舔舐,2.1,3
2026-05-05,19:51:17,1,舔舐,2.1,7
2026-05-05,19:51:19,1,舔舐,2.1,9
2026-05-05,19:51:21,1,舔舐,2.1,8
2026-05-05,19:51:23,1,舔舐,2.1,7
2026-05-05,19:51:25,1,舔舐,2.1,5
2026-05-05,19:51:27,1,舔舐,2.1,4
2026-05-05,19:51:29,1,舔舐,2.1,5
2026-05-05,19:51:32,1,舔舐,2.1,19
2026-05-05,19:51:34,1,舔舐,2.1,20
2026-05-05,19:51:36,1,舔舐,2.1,16
2026-05-05,19:51:38,1,舔舐,2.1,14
2026-05-05,19:51:40,1,舔舐,2.1,12
2026-05-05,19:51:42,1,舔舐,2.1,8
2026-05-05,19:51:44,1,舔舐,2.1,7
2026-05-05,19:51:46,1,舔舐,2.1,12
2026-05-05,19:51:48,1,舔舐,2.1,13
2026-05-05,19:51:50,1,舔舐,2.1,10
2026-05-05,19:51:53,1,舔舐,2.1,7
2026-05-05,19:51:55,1,舔舐,2.1,5
2026-05-05,19:51:57,1,舔舐,2.1,4
2026-05-05,19:51:59,1,舔舐,2.1,10
2026-05-05,19:52:01,1,舔舐,2.1,13
2026-05-05,19:52:03,1,舔舐,2.1,11
2026-05-05,19:52:05,1,舔舐,2.1,11
2026-05-05,19:52:07,1,舔舐,2.1,8
2026-05-05,19:52:09,1,舔舐,2.1,8
2026-05-05,19:52:11,1,舔舐,2.1,8
2026-05-05,19:52:14,1,舔舐,2.1,14
2026-05-05,19:52:16,1,舔舐,2.1,13
2026-05-05,19:52:18,1,舔舐,2.1,6
2026-05-05,19:52:20,1,舔舐,2.1,5
2026-05-05,19:52:22,1,舔舐,2.1,2
2026-05-05,19:52:24,1,舔舐,2.1,8
2026-05-05,19:52:26,1,舔舐,2.1,12
2026-05-05,19:52:28,1,舔舐,2.1,15
2026-05-05,19:52:30,1,舔舐,2.1,10
2026-05-05,19:52:32,1,舔舐,2.1,8
2026-05-05,19:52:35,1,舔舐,2.1,5
2026-05-05,19:52:37,1,舔舐,2.1,8
2026-05-05,19:52:39,1,舔舐,2.1,7
2026-05-05,19:52:41,1,舔舐,2.1,13
2026-05-05,19:52:43,1,舔舐,2.1,9
2026-05-05,19:52:45,1,舔舐,2.3,7
2026-05-05,19:52:47,1,舔舐,2.0,4
2026-05-05,19:52:49,1,舔舐,2.1,6
2026-05-05,19:52:51,1,舔舐,2.1,11
2026-05-05,19:52:54,1,舔舐,2.1,13
2026-05-05,19:52:56,1,舔舐,2.1,9
2026-05-05,19:52:58,1,舔舐,2.1,9
2026-05-05,19:53:00,1,舔舐,2.1,5
2026-05-05,19:53:02,1,舔舐,2.1,10
2026-05-05,19:53:04,1,舔舐,2.1,11
2026-05-05,19:53:06,1,舔舐,2.1,9
2026-05-05,19:53:08,1,舔舐,2.1,6
2026-05-05,19:53:10,1,舔舐,2.1,5
2026-05-05,19:53:13,1,舔舐,2.1,3
2026-05-05,19:53:15,1,舔舐,2.1,2
2026-05-05,19:53:17,1,舔舐,2.1,6
2026-05-05,19:53:19,1,舔舐,2.1,10
2026-05-05,19:53:21,1,舔舐,2.1,7
2026-05-05,19:53:23,1,舔舐,2.1,6
2026-05-05,19:53:25,1,舔舐,2.1,9
2026-05-05,19:53:27,1,舔舐,2.1,7
2026-05-05,19:53:29,1,舔舐,2.1,8
2026-05-05,19:53:31,1,舔舐,2.1,11
2026-05-05,19:53:33,1,舔舐,2.1,11
2026-05-05,19:53:36,1,舔舐,2.1,7
2026-05-05,19:53:38,1,舔舐,2.1,8
2026-05-05,19:53:40,1,舔舐,2.1,4
2026-05-05,19:53:42,1,舔舐,2.1,7
2026-05-05,19:53:44,1,舔舐,2.1,9
2026-05-05,19:53:46,1,舔舐,2.1,11
